,smiles_string,prop,value
51,[*]c1cccc(-c2nc3cc(-c4ccc5[nH]c([*])nc5c4)ccc3[nH]2)c1,Tc,0.360893777
52,[*]Nc1cccc2c(NC(=O)c3ccc(C([*])=O)cc3)cccc12,Tc,0.359870781
53,[*]Nc1ccc(Nc2ccc(C(=O)Nc3ccc(NC(=O)c4ccc([*])cc4)cc3)cc2)cc1,Tc,0.354869343
54,[*]c1cccc(-c2nc3cc4nc([*])[nH]c4cc3[nH]2)c1,Tc,0.353911995
55,*c1ccc(Nc2ccc(N3C(=O)c4cc5cc6c(cc5cc4C3=O)Cc3cc4cc5c(cc4cc3C6)C(=O)N(*)C5=O)cc2)cc1,Tc,0.352281684
56,[*]c1cncc(-c2nc3cc(-c4ccc5[nH]c([*])nc5c4)ccc3[nH]2)c1,Tc,0.350326329
57,[*]NC1=CC(=O)C([*])=CC1=O,Tc,0.346621437
58,[*]CNC(=O)CC(=O)N[*],Tc,0.346555475
59,[*]C=C([*])CO,Tc,0.346046111
60,[*]c1ccc(C(=O)Nc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1,Tc,0.337220912
61,[*]c1nc2cc(-c3ccc4[nH]c(-c5cccc6cc7c([*])cccc7cc56)nc4c3)ccc2[nH]1,Tc,0.336385954
62,*c1cc(-c2ccc(N)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)ccc1N,Tc,0.336159954
63,[*]c1cc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c(O)cc1O,Tc,0.335597911
64,*Cc1ccc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)cc1,Tc,0.333760815
65,[*]NNC(=O)c1ccc2cc(C(=O)NNC(=O)c3cccc(C([*])=O)c3)ccc2c1,Tc,0.331015621
66,*c1cc(-c2ccc(N)c(N3C(=O)c4cc5cc6c(cc5cc4C3=O)Cc3cc4cc5c(cc4cc3C6)C(=O)N(*)C5=O)c2)ccc1N,Tc,0.330037238
67,[*]Oc1ccc(C(=O)NNC(=O)c2ccc([*])cc2)cc1,Tc,0.326300087
68,[*]NNC(=O)c1cccc(C(=O)NNC(=O)c2ccc(C([*])=O)cc2)c1,Tc,0.325886261
69,[*]Nc1cccc(C#Cc2ccc(C([*])=O)cc2)c1,Tc,0.325458292
70,*C(=C)C(=C)N1C(=O)c2cc3cc4c(cc3cc2C1=O)Cc1cc2cc3c(cc2cc1C4)C(=O)N(*)C3=O,Tc,0.323634615
71,[*]c1ccc(Cc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,Tc,0.318064614
72,[*]Nc1cccc(NC(=O)c2ccc(C([*])=O)cc2)c1,Tc,0.316648451
73,[*]c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)c2)cc1,Tc,0.314502553
74,*c1cc(-c2ccc(N)c(N3C(=O)c4ccc5c6ccc7c8c(cnc(c9ncc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c2)ccc1N,Tc,0.309726371
75,*C1OC1NN1C(=O)c2cc3cc4c(cc3cc2C1=O)Cc1cc2cc3c(cc2cc1C4)C(=O)N(*)C3=O,Tc,0.309699947
76,*C(c1ccccc1)N1C(=O)c2cc3cc4c(cc3cc2C1=O)Cc1cc2cc3c(cc2cc1C4)C(=O)N(*)C3=O,Tc,0.308498923
77,[*]NNC(=O)c1cccc(C([*])=O)c1,Tc,0.308236427
78,*CN1C(=O)c2cc3cc4c(cc3cc2C1=O)Cc1cc2cc3c(cc2cc1C4)C(=O)N(*)C3=O,Tc,0.307791919
79,[*]NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc([*])n3)cc2)cc1,Tc,0.306039137
80,[*]c1ccc(Nc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1,Tc,0.305860229
81,*CC(C)=Cc1ccc2nc(N3C(=O)c4cc5cc6c(cc5cc4C3=O)Cc3cc4cc5c(cc4cc3C6)C(=O)N(*)C5=O)ncc2c1,Tc,0.304282307
82,[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)c1,Tc,0.301618196
83,*Nc1cc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)ccn1,Tc,0.294366763
84,[*]c1nc2cc(-c3ccc4oc(-c5cccc6cc7c([*])cccc7cc56)nc4c3)ccc2o1,Tc,0.281840087
